,,,,,,,,,,,,,,,,,screen1,screen2,age,sex,education,race,income,health,example_arousal_scale,example_valence_scale,04_a_low_arsl,04_a_low_vln,04_a_full_arsl,04_a_full_vln,04_a_med_arsl,04_a_med_vln,04_h_full_arsl,04_h_full_vln,04_h_low_arsl,04_h_low_vln,04_h_med_arsl,04_h_med_vln,04_s_full_arsl,04_s_full_vln,04_s_low_arsl,04_s_low_vln,04_s_med_arsl,04_s_med_vln,116_a_full_arsl,116_a_full_vln,116_a_low_arsl,116_a_low_vln,116_a_med_arsl,116_a_med_vln,116_h_full_arsl,116_h_full_vln,116_h_low_arsl,116_h_low_vln,116_h_med_arsl,116_h_med_vln,116_s_full_arsl,116_s_full_vln,116_s_low_arsl,116_s_low_vln,116_s_med_arsl,116_s_med_vln,133_a_full_arsl,133_a_full_vln,133_a_low_arsl,133_a_low_vln,133_a_med_arsl,133_a_med_vln,133_h_full_arsl,133_h_full_vln,133_h_low_arsl,133_h_low_vln,133_h_med_arsl,133_h_med_vln,133_s_full_arsl,133_s_full_vln,133_s_low_arsl,133_s_low_vln,133_s_med_arsl,133_s_med_vln,49_a_full_arsl,49_a_full_vln,49_a_low_arsl,49_a_low_vln,49_a_med_arsl,49_a_med_vln,49_h_full_arsl,49_h_full_vln,49_h_low_arsl,49_h_low_vln,49_h_med_arsl,49_h_med_vln,49_s_full_arsl,49_s_full_vln,49_s_low_arsl,49_s_low_vln,49_s_med_arsl,49_s_med_vln,69_a_full_arsl,69_a_full_vln,69_a_low_arsl,69_a_low_vln,69_a_med_arsl,69_a_med_vln,69_h_full_arsl,69_h_full_vln,69_h_low_arsl,69_h_low_vln,69_h_med_arsl,69_h_med_vln,69_s_full_arsl,69_s_full_vln,69_s_low_arsl,69_s_low_vln,69_s_med_arsl,69_s_med_vln,113_a_full_arsl,113_a_full_vln,113_a_low_arsl,113_a_low_vln,113_a_med_arsl,113_a_med_vln,113_h_full_arsl,113_h_full_vln,113_h_low_arsl,113_h_low_vln,113_h_med_arsl,113_h_med_vln,113_s_full_arsl,113_s_full_vln,113_s_low_arsl,113_s_low_vln,113_s_med_arsl,113_s_med_vln,,,,,,
8/31/18 14:00,8/31/18 14:15,IP Address,68.36.130.36,100,847,TRUE,8/31/18 14:15,R_2VJDyJH9UFByc3V,,,,,42.68840027,-83.3864975,anonymous,EN,No,No,66,Male,Some College,Black/African American,"$30,000-$39,000",4,4,4 - Neutral,5,4 - Neutral,,,4,5 - Slightly Negative,2,1 - Very Positive,4,3 - Slightly Positive,,,2,7 - Very Negative,3,5 - Slightly Negative,3,5 - Slightly Negative,1 - Very Aroused,7 - Very Negative,3,5 - Slightly Negative,3,7 - Very Negative,2,2 - Moderately Positive,3,3 - Slightly Positive,2,2 - Moderately Positive,3,6 - Moderately Negative,4,4 - Neutral,4,5 - Slightly Negative,,,5,4 - Neutral,3,3 - Slightly Positive,,,3,3 - Slightly Positive,2,1 - Very Positive,,,,,4,4 - Neutral,2,7 - Very Negative,,,2,7 - Very Negative,2,2 - Moderately Positive,3,3 - Slightly Positive,3,3 - Slightly Positive,3,6 - Moderately Negative,3,5 - Slightly Negative,4,5 - Slightly Negative,2,6 - Moderately Negative,,,2,7 - Very Negative,2,1 - Very Positive,3,3 - Slightly Positive,2,1 - Very Positive,3,7 - Very Negative,,,,,1 - Very Aroused,7 - Very Negative,3,5 - Slightly Negative,2,7 - Very Negative,3,2 - Moderately Positive,3,2 - Moderately Positive,3,2 - Moderately Positive,2,6 - Moderately Negative,3,5 - Slightly Negative,1 - Very Aroused,6 - Moderately Negative,Qual1827-0726Age,5b899e6d-0931-47b6-a484-88b265746450,2904619,,1,
8/31/18 14:03,8/31/18 14:15,IP Address,45.18.154.45,100,664,TRUE,8/31/18 14:15,R_3HSx54mkwOEp7dO,,,,,37.47099304,-82.82939911,anonymous,EN,No,No,50,Male,Some College,White/Caucasian,"less than $10,000",2,4,4 - Neutral,5,7 - Very Negative,,,5,7 - Very Negative,5,1 - Very Positive,5,1 - Very Positive,5,1 - Very Positive,5,7 - Very Negative,5,7 - Very Negative,,,5,7 - Very Negative,5,7 - Very Negative,5,7 - Very Negative,5,1 - Very Positive,5,1 - Very Positive,5,1 - Very Positive,5,7 - Very Negative,5,7 - Very Negative,5,7 - Very Negative,5,7 - Very Negative,5,7 - Very Negative,,,5,1 - Very Positive,5,1 - Very Positive,5,3 - Slightly Positive,5,7 - Very Negative,5,6 - Moderately Negative,5,7 - Very Negative,5,7 - Very Negative,5,7 - Very Negative,,,5,1 - Very Positive,5,1 - Very Positive,5,1 - Very Positive,5,7 - Very Negative,5,7 - Very Negative,5,7 - Very Negative,,,5,6 - Moderately Negative,5,7 - Very Negative,5,1 - Very Positive,5,1 - Very Positive,5,1 - Very Positive,,,5,7 - Very Negative,5,7 - Very Negative,5,7 - Very Negative,,,,,,,5,2 - Moderately Positive,,,5,7 - Very Negative,5,7 - Very Negative,5,7 - Very Negative,Qual1827-0726Age,5b899f2a-3de6-4073-b77a-7a7dc0488776,2904619,,1,
8/31/18 14:05,8/31/18 14:15,IP Address,75.162.67.112,100,609,TRUE,8/31/18 14:15,R_bknGfE6fdWOWCRz,,,,,41.67269897,-93.57219696,anonymous,EN,No,No,47,Female,High School Diploma,White/Caucasian,"$60,000-$69,999",4,4,4 - Neutral,4,5 - Slightly Negative,5,6 - Moderately Negative,4,6 - Moderately Negative,4,2 - Moderately Positive,4,2 - Moderately Positive,4,2 - Moderately Positive,,,,,4,2 - Moderately Positive,5,7 - Very Negative,5,6 - Moderately Negative,5,6 - Moderately Negative,4,1 - Very Positive,,,4,1 - Very Positive,4,5 - Slightly Negative,5,6 - Moderately Negative,4,5 - Slightly Negative,6,5 - Slightly Negative,5,6 - Moderately Negative,6,6 - Moderately Negative,,,4,2 - Moderately Positive,4,2 - Moderately Positive,5,4 - Neutral,4,4 - Neutral,5,4 - Neutral,4,6 - Moderately Negative,,,5,5 - Slightly Negative,,,3,1 - Very Positive,,,5,5 - Slightly Negative,4,2 - Moderately Positive,5,5 - Slightly Negative,5,3 - Slightly Positive,3,6 - Moderately Negative,4,7 - Very Negative,4,1 - Very Positive,3,1 - Very Positive,,,3,5 - Slightly Negative,5,2 - Moderately Positive,,,5,6 - Moderately Negative,5,6 - Moderately Negative,4,5 - Slightly Negative,3,1 - Very Positive,4,1 - Very Positive,4,2 - Moderately Positive,5,5 - Slightly Negative,4,4 - Neutral,4,5 - Slightly Negative,Qual1827-0726Age,5b899f7d-1fde-4ee5-a17f-4a954b61e795,2904619,,1,
8/31/18 14:05,8/31/18 14:15,IP Address,74.83.255.4,100,617,TRUE,8/31/18 14:15,R_3qVUu8YpgztiemW,,,,,39.07470703,-84.47920227,anonymous,EN,No,No,58,Female,Bachelor's Degree,White/Caucasian,"$140,000-$149,999",Very healthy,2,2 - Moderately Positive,,,2,6 - Moderately Negative,5,6 - Moderately Negative,7 - Not At All Aroused,2 - Moderately Positive,6,2 - Moderately Positive,6,4 - Neutral,5,5 - Slightly Negative,6,4 - Neutral,3,6 - Moderately Negative,1 - Very Aroused,7 - Very Negative,1 - Very Aroused,7 - Very Negative,1 - Very Aroused,7 - Very Negative,6,2 - Moderately Positive,7 - Not At All Aroused,5 - Slightly Negative,7 - Not At All Aroused,4 - Neutral,,,3,5 - Slightly Negative,3,6 - Moderately Negative,,,6,5 - Slightly Negative,,,6,2 - Moderately Positive,7 - Not At All Aroused,4 - Neutral,7 - Not At All Aroused,3 - Slightly Positive,,,5,4 - Neutral,,,1 - Very Aroused,7 - Very Negative,2,6 - Moderately Negative,1 - Very Aroused,7 - Very Negative,4,3 - Slightly Positive,,,7 - Not At All Aroused,2 - Moderately Positive,,,5,5 - Slightly Negative,3,6 - Moderately Negative,2,7 - Very Negative,,,2,7 - Very Negative,7 - Not At All Aroused,1 - Very Positive,6,3 - Slightly Positive,6,2 - Moderately Positive,6,4 - Neutral,6,5 - Slightly Negative,2,6 - Moderately Negative,1 - Very Aroused,7 - Very Negative,1 - Very Aroused,7 - Very Negative,1 - Very Aroused,7 - Very Negative,7 - Not At All Aroused,3 - Slightly Positive,4,2 - Moderately Positive,,,5,7 - Very Negative,5,5 - Slightly Negative,2,6 - Moderately Negative,Qual1827-0726Age,5b899f85-1f5d-4834-813c-bbc9733fc6ba,2904619,,1,
8/31/18 14:06,8/31/18 14:16,IP Address,98.125.70.154,100,570,TRUE,8/31/18 14:16,R_DMm0onUbYxQDfEd,,,,,46.12469482,-123.6764984,anonymous,EN,No,No,48,Female,Bachelor's Degree,Asian,"$40,000-$49,999",3,4,4 - Neutral,4,4 - Neutral,3,5 - Slightly Negative,,,3,2 - Moderately Positive,4,4 - Neutral,,,,,3,6 - Moderately Negative,3,6 - Moderately Negative,,,4,5 - Slightly Negative,4,6 - Moderately Negative,3,2 - Moderately Positive,4,4 - Neutral,3,2 - Moderately Positive,3,6 - Moderately Negative,5,5 - Slightly Negative,3,6 - Moderately Negative,3,6 - Moderately Negative,5,5 - Slightly Negative,3,6 - Moderately Negative,4,4 - Neutral,4,4 - Neutral,4,3 - Slightly Positive,3,5 - Slightly Negative,5,5 - Slightly Negative,5,5 - Slightly Negative,,,5,5 - Slightly Negative,3,6 - Moderately Negative,4,3 - Slightly Positive,,,4,3 - Slightly Positive,3,6 - Moderately Negative,3,6 - Moderately Negative,4,5 - Slightly Negative,,,5,5 - Slightly Negative,,,3,2 - Moderately Positive,4,4 - Neutral,3,2 - Moderately Positive,3,6 - Moderately Negative,3,6 - Moderately Negative,,,3,6 - Moderately Negative,4,5 - Slightly Negative,5,5 - Slightly Negative,3,2 - Moderately Positive,4,4 - Neutral,3,2 - Moderately Positive,3,6 - Moderately Negative,5,5 - Slightly Negative,,,Qual1827-0726Age,5b899fc4-719c-471f-a318-ebc4f2a4a0cf,2904619,,1,
8/31/18 14:04,8/31/18 14:16,IP Address,99.182.30.32,100,752,TRUE,8/31/18 14:16,R_3RwswuWXT0dciCY,,,,,33.021698,-97.22239685,anonymous,EN,No,No,68,Male,High School Diploma,Asian,"$40,000-$49,999",Very healthy,5,4 - Neutral,5,5 - Slightly Negative,4,4 - Neutral,,,3,3 - Slightly Positive,4,4 - Neutral,3,3 - Slightly Positive,5,5 - Slightly Negative,4,4 - Neutral,5,5 - Slightly Negative,,,4,4 - Neutral,5,5 - Slightly Negative,,,,,4,3 - Slightly Positive,5,5 - Slightly Negative,5,5 - Slightly Negative,5,5 - Slightly Negative,5,4 - Neutral,3,4 - Neutral,5,5 - Slightly Negative,3,3 - Slightly Positive,4,4 - Neutral,,,,,5,5 - Slightly Negative,5,5 - Slightly Negative,,,4,4 - Neutral,5,5 - Slightly Negative,3,3 - Slightly Positive,,,3,3 - Slightly Positive,4,4 - Neutral,5,5 - Slightly Negative,5,5 - Slightly Negative,3,4 - Neutral,4,4 - Neutral,4,4 - Neutral,3,3 - Slightly Positive,3,3 - Slightly Positive,3,3 - Slightly Positive,4,4 - Neutral,5,5 - Slightly Negative,6,5 - Slightly Negative,5,5 - Slightly Negative,,,4,4 - Neutral,3,3 - Slightly Positive,,,3,3 - Slightly Positive,4,4 - Neutral,4,4 - Neutral,5,5 - Slightly Negative,Qual1827-0726Age,5b899f2e-2342-43dc-9a7a-56f2424e01ad,2904619,,1,
8/31/18 14:03,8/31/18 14:16,IP Address,72.184.121.61,100,825,TRUE,8/31/18 14:16,R_3DihhN9oW0eXIgL,,,,,28.78050232,-82.58979797,anonymous,EN,No,No,75,Female,Some College,White/Caucasian,"$50,000-$59,000",4,2,2 - Moderately Positive,4,5 - Slightly Negative,,,3,6 - Moderately Negative,,,3,4 - Neutral,2,3 - Slightly Positive,2,5 - Slightly Negative,6,3 - Slightly Positive,7 - Not At All Aroused,4 - Neutral,2,5 - Slightly Negative,2,5 - Slightly Negative,2,2 - Moderately Positive,1 - Very Aroused,2 - Moderately Positive,2,1 - Very Positive,,,2,3 - Slightly Positive,2,6 - Moderately Negative,7 - Not At All Aroused,5 - Slightly Negative,4,5 - Slightly Negative,4,7 - Very Negative,5,5 - Slightly Negative,1 - Very Aroused,3 - Slightly Positive,1 - Very Aroused,3 - Slightly Positive,1 - Very Aroused,3 - Slightly Positive,,,5,6 - Moderately Negative,,,1 - Very Aroused,3 - Slightly Positive,7 - Not At All Aroused,3 - Slightly Positive,2,5 - Slightly Negative,1 - Very Aroused,3 - Slightly Positive,3,4 - Neutral,2,3 - Slightly Positive,,,2,4 - Neutral,2,6 - Moderately Negative,1 - Very Aroused,3 - Slightly Positive,3,4 - Neutral,1 - Very Aroused,4 - Neutral,1 - Very Aroused,2 - Moderately Positive,3,4 - Neutral,,,,,2,3 - Slightly Positive,5,5 - Slightly Negative,2,4 - Neutral,1 - Very Aroused,2 - Moderately Positive,2,5 - Slightly Negative,1 - Very Aroused,2 - Moderately Positive,,,2,2 - Moderately Positive,3,5 - Slightly Negative,5,5 - Slightly Negative,,,Qual1827-0726Age,5b899ef9-c23a-48ee-aef8-7e9d68dd1180,2904619,,1,
8/31/18 14:05,8/31/18 14:17,IP Address,23.127.211.124,100,685,TRUE,8/31/18 14:17,R_1H0J236tp4sftRP,,,,,36.00039673,-80.17479706,anonymous,EN,No,No,71,Female,Middle School,White/Caucasian,"$10,000-$19,999",3,4,4 - Neutral,4,4 - Neutral,4,4 - Neutral,4,4 - Neutral,,,,,,,4,4 - Neutral,4,4 - Neutral,4,4 - Neutral,4,4 - Neutral,4,4 - Neutral,4,4 - Neutral,,,2,3 - Slightly Positive,2,3 - Slightly Positive,4,4 - Neutral,4,4 - Neutral,4,4 - Neutral,,,,,4,4 - Neutral,,,2,3 - Slightly Positive,2,3 - Slightly Positive,4,4 - Neutral,4,4 - Neutral,4,4 - Neutral,4,4 - Neutral,7 - Not At All Aroused,6 - Moderately Negative,4,4 - Neutral,2,2 - Moderately Positive,2,3 - Slightly Positive,2,3 - Slightly Positive,4,4 - Neutral,4,4 - Neutral,4,4 - Neutral,4,4 - Neutral,4,4 - Neutral,4,4 - Neutral,2,3 - Slightly Positive,2,2 - Moderately Positive,2,3 - Slightly Positive,4,4 - Neutral,4,4 - Neutral,4,4 - Neutral,4,4 - Neutral,4,4 - Neutral,4,4 - Neutral,2,3 - Slightly Positive,,,,,4,4 - Neutral,,,4,4 - Neutral,Qual1827-0726Age,5b899f95-d637-4b86-ac5a-b8ca33f23845,2904619,,1,
8/31/18 14:05,8/31/18 14:18,IP Address,99.175.82.135,100,766,TRUE,8/31/18 14:18,R_vIc9Zm6I1CP1Qsx,,,,,42.32220459,-88.46710205,anonymous,EN,No,No,30,Male,Some College,Black/African American,"$10,000-$19,999",3,3,4 - Neutral,3,4 - Neutral,4,4 - Neutral,5,4 - Neutral,6,4 - Neutral,,,5,4 - Neutral,3,4 - Neutral,3,4 - Neutral,,,7 - Not At All Aroused,4 - Neutral,5,4 - Neutral,,,5,4 - Neutral,2,4 - Neutral,6,4 - Neutral,,,3,4 - Neutral,4,4 - Neutral,6,4 - Neutral,7 - Not At All Aroused,6 - Moderately Negative,,,,,2,4 - Neutral,2,4 - Neutral,5,4 - Neutral,5,4 - Neutral,,,5,4 - Neutral,4,4 - Neutral,4,4 - Neutral,2,4 - Neutral,2,4 - Neutral,6,4 - Neutral,6,4 - Neutral,5,4 - Neutral,4,4 - Neutral,5,4 - Neutral,4,4 - Neutral,4,4 - Neutral,1 - Very Aroused,4 - Neutral,3,4 - Neutral,1 - Very Aroused,4 - Neutral,4,4 - Neutral,5,4 - Neutral,5,4 - Neutral,4,4 - Neutral,4,4 - Neutral,5,4 - Neutral,,,4,4 - Neutral,,,5,4 - Neutral,4,4 - Neutral,7 - Not At All Aroused,4 - Neutral,Qual1827-0726Age,5b899f9c-0d04-4200-93dc-16d6ddbc09c3,2904619,,1,
8/31/18 14:07,8/31/18 14:18,IP Address,67.232.168.6,100,680,TRUE,8/31/18 14:18,R_RwXGR8EDPWJGBON,,,,,36.41990662,-82.11389923,anonymous,EN,No,No,56,Female,High School Diploma,White/Caucasian,"less than $10,000",3,6,4 - Neutral,3,5 - Slightly Negative,3,5 - Slightly Negative,3,4 - Neutral,,,4,4 - Neutral,3,2 - Moderately Positive,3,5 - Slightly Negative,,,3,5 - Slightly Negative,3,6 - Moderately Negative,,,3,5 - Slightly Negative,3,3 - Slightly Positive,3,2 - Moderately Positive,2,6 - Moderately Negative,,,3,4 - Neutral,3,5 - Slightly Negative,3,6 - Moderately Negative,3,4 - Neutral,3,6 - Moderately Negative,,,3,3 - Slightly Positive,4,4 - Neutral,2,4 - Neutral,,,3,5 - Slightly Negative,3,4 - Neutral,,,,,3,4 - Neutral,,,3,3 - Slightly Positive,3,6 - Moderately Negative,3,5 - Slightly Negative,3,4 - Neutral,3,4 - Neutral,3,5 - Slightly Negative,3,5 - Slightly Negative,3,3 - Slightly Positive,3,4 - Neutral,3,2 - Moderately Positive,3,5 - Slightly Negative,3,5 - Slightly Negative,,,2,5 - Slightly Negative,3,5 - Slightly Negative,4,6 - Moderately Negative,3,2 - Moderately Positive,3,3 - Slightly Positive,3,3 - Slightly Positive,3,5 - Slightly Negative,3,5 - Slightly Negative,3,5 - Slightly Negative,Qual1827-0726Age,5b899ff5-6609-4dc9-aa53-580c169a5e35,2904619,,1,
8/31/18 14:07,8/31/18 14:19,IP Address,69.222.115.148,100,693,TRUE,8/31/18 14:19,R_271BQIKvYZwp7fm,,,,,32.97219849,-96.73760223,anonymous,EN,No,No,40,Female,High School Diploma,White/Caucasian,"$90,000-$99,999",3,7 - Not At All Aroused,4 - Neutral,4,4 - Neutral,5,6 - Moderately Negative,5,5 - Slightly Negative,1 - Very Aroused,1 - Very Positive,2,2 - Moderately Positive,3,4 - Neutral,,,6,6 - Moderately Negative,7 - Not At All Aroused,7 - Very Negative,,,5,6 - Moderately Negative,6,6 - Moderately Negative,2,2 - Moderately Positive,1 - Very Aroused,1 - Very Positive,2,2 - Moderately Positive,7 - Not At All Aroused,7 - Very Negative,5,5 - Slightly Negative,6,6 - Moderately Negative,7 - Not At All Aroused,7 - Very Negative,5,5 - Slightly Negative,5,4 - Neutral,3,2 - Moderately Positive,3,3 - Slightly Positive,,,3,4 - Neutral,4,4 - Neutral,,,4,5 - Slightly Negative,4,5 - Slightly Negative,2,6 - Moderately Negative,1 - Very Aroused,1 - Very Positive,,,2,2 - Moderately Positive,6,6 - Moderately Negative,5,5 - Slightly Negative,,,,,5,5 - Slightly Negative,6,6 - Moderately Negative,1 - Very Aroused,1 - Very Positive,,,6,2 - Moderately Positive,,,6,6 - Moderately Negative,7 - Not At All Aroused,7 - Very Negative,2,6 - Moderately Negative,3,4 - Neutral,4,5 - Slightly Negative,1 - Very Aroused,1 - Very Positive,,,3,3 - Slightly Positive,6,6 - Moderately Negative,5,5 - Slightly Negative,5,5 - Slightly Negative,Qual1827-0726Age,5b89a004-f246-4426-bb29-4d1390469b01,2904619,,1,
8/31/18 14:10,8/31/18 14:19,IP Address,162.245.132.209,100,529,TRUE,8/31/18 14:19,R_sZFMAuYkRTVTCeJ,,,,,37.55769348,-77.37689972,anonymous,EN,No,No,33,Male,Bachelor's Degree,White/Caucasian,"$70,000-$79,999",Very healthy,7 - Not At All Aroused,2 - Moderately Positive,3,4 - Neutral,4,4 - Neutral,3,4 - Neutral,,,5,4 - Neutral,4,4 - Neutral,1 - Very Aroused,7 - Very Negative,2,6 - Moderately Negative,3,5 - Slightly Negative,1 - Very Aroused,7 - Very Negative,,,2,7 - Very Negative,4,4 - Neutral,3,5 - Slightly Negative,6,3 - Slightly Positive,5,3 - Slightly Positive,4,4 - Neutral,3,5 - Slightly Negative,4,5 - Slightly Negative,,,3,5 - Slightly Negative,2,2 - Moderately Positive,,,3,2 - Moderately Positive,3,4 - Neutral,5,4 - Neutral,,,5,4 - Neutral,4,5 - Slightly Negative,4,4 - Neutral,3,2 - Moderately Positive,4,5 - Slightly Negative,4,3 - Slightly Positive,3,5 - Slightly Negative,4,4 - Neutral,4,5 - Slightly Negative,3,5 - Slightly Negative,3,4 - Neutral,3,5 - Slightly Negative,2,3 - Slightly Positive,5,4 - Neutral,,,2,6 - Moderately Negative,,,3,6 - Moderately Negative,5,4 - Neutral,,,,,2,1 - Very Positive,,,4,3 - Slightly Positive,1 - Very Aroused,7 - Very Negative,3,6 - Moderately Negative,3,5 - Slightly Negative,Qual1827-0726Age,5b89a0b0-1985-4664-bd84-832a33ee524e,2904619,,1,
8/31/18 14:04,8/31/18 14:19,IP Address,184.56.79.121,100,889,TRUE,8/31/18 14:19,R_2CNTX4C9lCtf8vZ,,,,,41.04170227,-81.55930328,anonymous,EN,No,No,48,Male,Some College,White/Caucasian,"$30,000-$39,000",3,1 - Very Aroused,1 - Very Positive,4,4 - Neutral,5,5 - Slightly Negative,4,4 - Neutral,1 - Very Aroused,1 - Very Positive,4,3 - Slightly Positive,,,4,4 - Neutral,,,5,6 - Moderately Negative,7 - Not At All Aroused,7 - Very Negative,7 - Not At All Aroused,6 - Moderately Negative,7 - Not At All Aroused,7 - Very Negative,2,2 - Moderately Positive,4,4 - Neutral,4,4 - Neutral,7 - Not At All Aroused,7 - Very Negative,,,5,6 - Moderately Negative,7 - Not At All Aroused,7 - Very Negative,,,7 - Not At All Aroused,5 - Slightly Negative,2,2 - Moderately Positive,3,3 - Slightly Positive,4,3 - Slightly Positive,5,6 - Moderately Negative,4,4 - Neutral,4,5 - Slightly Negative,7 - Not At All Aroused,7 - Very Negative,4,4 - Neutral,7 - Not At All Aroused,6 - Moderately Negative,,,3,3 - Slightly Positive,3,3 - Slightly Positive,7 - Not At All Aroused,5 - Slightly Negative,4,5 - Slightly Negative,6,6 - Moderately Negative,7 - Not At All Aroused,7 - Very Negative,4,4 - Neutral,7 - Not At All Aroused,7 - Very Negative,1 - Very Aroused,1 - Very Positive,,,1 - Very Aroused,1 - Very Positive,4,5 - Slightly Negative,,,7 - Not At All Aroused,6 - Moderately Negative,7 - Not At All Aroused,7 - Very Negative,,,,,1 - Very Aroused,1 - Very Positive,3,2 - Moderately Positive,,,7 - Not At All Aroused,7 - Very Negative,5,5 - Slightly Negative,4,5 - Slightly Negative,Qual1827-0726Age,5b899f5d-6a29-4aee-bee4-6a939ccdcbfe,2904619,,1,
8/31/18 14:10,8/31/18 14:19,IP Address,67.250.169.32,100,563,TRUE,8/31/18 14:19,R_1FKRuWbaOW3bnro,,,,,40.71679688,-73.98609924,anonymous,EN,No,No,30,Male,Doctoral Degree,White/Caucasian,"$80,000-$89,999",Very healthy,3,2 - Moderately Positive,7 - Not At All Aroused,4 - Neutral,4,4 - Neutral,,,7 - Not At All Aroused,4 - Neutral,7 - Not At All Aroused,4 - Neutral,7 - Not At All Aroused,4 - Neutral,,,7 - Not At All Aroused,4 - Neutral,7 - Not At All Aroused,4 - Neutral,,,3,5 - Slightly Negative,7 - Not At All Aroused,4 - Neutral,7 - Not At All Aroused,4 - Neutral,,,,,4,4 - Neutral,3,5 - Slightly Negative,7 - Not At All Aroused,4 - Neutral,5,4 - Neutral,7 - Not At All Aroused,4 - Neutral,7 - Not At All Aroused,6 - Moderately Negative,4,4 - Neutral,2,7 - Very Negative,7 - Not At All Aroused,4 - Neutral,7 - Not At All Aroused,4 - Neutral,,,3,3 - Slightly Positive,7 - Not At All Aroused,4 - Neutral,7 - Not At All Aroused,4 - Neutral,,,4,4 - Neutral,4,4 - Neutral,7 - Not At All Aroused,4 - Neutral,4,4 - Neutral,4,4 - Neutral,5,7 - Very Negative,7 - Not At All Aroused,4 - Neutral,3,4 - Neutral,4,4 - Neutral,,,4,4 - Neutral,6,3 - Slightly Positive,4,4 - Neutral,,,3,5 - Slightly Negative,7 - Not At All Aroused,4 - Neutral,,,4,5 - Slightly Negative,7 - Not At All Aroused,4 - Neutral,7 - Not At All Aroused,4 - Neutral,7 - Not At All Aroused,4 - Neutral,7 - Not At All Aroused,4 - Neutral,7 - Not At All Aroused,4 - Neutral,5,4 - Neutral,Qual1827-0726Age,5b89a0a9-26f7-45ca-bbe6-e2abf3cb5017,2904619,,1,
8/31/18 14:06,8/31/18 14:20,IP Address,50.53.152.6,100,800,TRUE,8/31/18 14:20,R_1JWvfNrUNFoF68h,,,,,45.36529541,-122.7579041,anonymous,EN,No,No,46,Female,Some College,Asian,"$110,000-$119,999",4,3,2 - Moderately Positive,6,5 - Slightly Negative,5,5 - Slightly Negative,5,5 - Slightly Negative,,,4,3 - Slightly Positive,4,3 - Slightly Positive,4,4 - Neutral,,,,,5,5 - Slightly Negative,4,4 - Neutral,5,5 - Slightly Negative,2,2 - Moderately Positive,3,3 - Slightly Positive,2,2 - Moderately Positive,6,6 - Moderately Negative,5,4 - Neutral,6,6 - Moderately Negative,6,5 - Slightly Negative,4,4 - Neutral,4,4 - Neutral,3,2 - Moderately Positive,4,4 - Neutral,4,3 - Slightly Positive,6,5 - Slightly Negative,4,4 - Neutral,4,4 - Neutral,5,5 - Slightly Negative,,,4,5 - Slightly Negative,2,2 - Moderately Positive,4,3 - Slightly Positive,,,5,5 - Slightly Negative,4,4 - Neutral,,,6,6 - Moderately Negative,,,6,6 - Moderately Negative,2,2 - Moderately Positive,,,3,3 - Slightly Positive,5,5 - Slightly Negative,5,5 - Slightly Negative,,,6,6 - Moderately Negative,4,5 - Slightly Negative,6,6 - Moderately Negative,,,4,3 - Slightly Positive,2,2 - Moderately Positive,5,6 - Moderately Negative,5,4 - Neutral,5,5 - Slightly Negative,Qual1827-0726Age,5b899fd5-5feb-4273-a34a-0e4de2db5912,2904619,,1,
8/31/18 14:07,8/31/18 14:20,IP Address,69.14.37.92,100,750,TRUE,8/31/18 14:20,R_25L0X8tzOOmvs4a,,,,,42.65989685,-83.123703,anonymous,EN,No,No,70,Male,Bachelor's Degree,White/Caucasian,"$100,000-$109,999",Very healthy,1 - Very Aroused,4 - Neutral,5,5 - Slightly Negative,4,4 - Neutral,4,4 - Neutral,1 - Very Aroused,1 - Very Positive,,,2,1 - Very Positive,,,,,5,4 - Neutral,7 - Not At All Aroused,7 - Very Negative,4,4 - Neutral,7 - Not At All Aroused,7 - Very Negative,1 - Very Aroused,1 - Very Positive,1 - Very Aroused,1 - Very Positive,2,1 - Very Positive,5,6 - Moderately Negative,3,3 - Slightly Positive,5,5 - Slightly Negative,,,5,4 - Neutral,5,5 - Slightly Negative,,,,,1 - Very Aroused,1 - Very Positive,5,4 - Neutral,4,4 - Neutral,4,4 - Neutral,5,5 - Slightly Negative,4,4 - Neutral,4,4 - Neutral,1 - Very Aroused,1 - Very Positive,1 - Very Aroused,1 - Very Positive,2,1 - Very Positive,5,6 - Moderately Negative,4,4 - Neutral,5,5 - Slightly Negative,,,,,5,5 - Slightly Negative,1 - Very Aroused,1 - Very Positive,,,1 - Very Aroused,1 - Very Positive,6,6 - Moderately Negative,5,5 - Slightly Negative,6,5 - Slightly Negative,7 - Not At All Aroused,6 - Moderately Negative,6,6 - Moderately Negative,6,6 - Moderately Negative,1 - Very Aroused,1 - Very Positive,2,1 - Very Positive,1 - Very Aroused,1 - Very Positive,5,6 - Moderately Negative,3,3 - Slightly Positive,,,Qual1827-0726Age,5b89a00d-b628-402f-be21-ae1974951214,2904619,,1,
